date,strategy_1934030,strategy_1934014,strategy_1873038,strategy_1934023,strategy_1934037
2006-01-03,-0.01859999999999995,-0.0041999999999999815,-0.0039000000000000146,-0.03090000000000004,0.0007999999999999119
2006-01-04,0.011514163439983571,0.01496284394456704,0.007127798413813835,0.0038179754411309386,0.007793764988009544
2006-01-05,0.00010073536818788753,0.0039576531117047065,-0.0016945773524719154,0.006578947368421018,0.0025778306563553066
2006-01-06,0.006647864625302091,0.011333399034197278,0.008287568647029397,-0.001327614379084907,0.005142405063291111
2006-01-09,0.011406844106463865,0.016078737088286887,0.005743711626064574,0.0030677983433888834,0.006099960645415292
2006-01-10,0.007123070834982093,0.009494581375275812,0.004233950374163076,0.006626567438066999,0.007627615881087513
2006-01-11,0.009528487229862437,-0.006365190955728739,0.001960976566329986,0.013064614138140529,0.005337732919254545
2006-01-12,-0.0012649605916122963,0.001338560091787011,-0.0008807123984734266,0.003099070278916427,0.008495028477652156
2006-01-13,-0.002727981293842552,0.0025780578630765216,-0.0009794319294808007,9.966115208293047e-05,0.005743275581506557
2006-01-16,0.0,0.0,0.0050000000000001155,0.0,0.008660892738174608
2006-01-17,-0.001660805001953869,0.009809523809523713,0.0029265437518291026,-0.0012954658694568355,-0.002075863370447295
2006-01-18,-0.0021528525296017342,-0.006507592190889366,-0.0072950102130142636,-0.0005986828976252134,-0.009360816944024242
2006-01-19,0.014710208884966214,0.01423960508828559,0.015187144816774412,0.010982428115016152,0.015366994368616993
2006-01-20,-0.003962501208079616,-0.005896667914638831,-0.007914293987066778,-0.00987556784515109,0.0018800526414739505
2006-01-23,-0.0034931108092373098,0.00028245927878733923,0.015468430781204301,0.0030919609016555327,0.005441921561268437
2006-01-24,0.007984420642648482,0.010071536144578452,0.0032573289902280145,0.008650691060952509,-0.0008398656215006239
2006-01-25,-9.659969088093856e-05,0.00792097660982205,-0.0032467532467532756,-0.0019716088328075587,0.007004763239002454
2006-01-26,-0.008791421118732545,0.007581360946745663,-0.003065721402567445,-0.0030620308178583855,-0.0004637358560564131
2006-01-27,0.003216374269005895,0.00853367590383547,0.00893715164328257,0.003963142772218209,-0.0017630138257399564
2006-01-30,0.004080443019527813,0.005822946046765587,0.013715591961139362,-0.003059311161551337,0.010689719278676346
2006-01-31,0.002709240445089467,0.007960199004975133,-0.004510006577092995,-0.0038606216590774123,-0.0029430699898832513
2006-02-01,0.006175817813374618,0.01319213856232615,0.0010382255781029581,0.011229255689158446,0.007379393044921967
2006-02-02,-0.018701448163421897,-0.014083259521700642,-0.0005657175183858554,-0.006682389937107014,0.005402435674388917
2006-02-03,-0.007916340891321205,-0.007187135028299263,0.006132075471698251,-0.0041551246537396835,0.0071038251366120075
2006-02-06,0.001871736774701871,0.008415528006515238,0.013408345053914639,0.01251738525730195,0.0071441490323747026
2006-02-07,0.0006882989183873978,-0.015703517587939753,-0.019892672094744546,-0.001667974882260559,-0.019215228517554084
2006-02-08,0.00550260391077928,-0.0008204941197921256,-0.006608137449258922,9.82800982800569e-05,-0.01602123958619428
2006-02-09,-0.010065474445421718,-0.007846715328467146,0.014729639836548403,0.005404874213836397,0.003814663193152157
2006-02-10,-0.006317867719644599,-0.017472871068603957,-0.01648248735718305,0.003225491154334792,-0.012141996477894157
2006-02-13,-0.00635803695608983,-0.004586297266941264,-0.02494762902304315,-0.006625097427903404,-0.025426909363858052
2006-02-14,0.01089782043591292,0.009308885754583995,0.014160156249999778,0.005688505296194801,0.004332338500047994
2006-02-15,0.014835327860745817,0.008105086640581183,-0.0029850746268655914,0.017359079383655107,-0.004888803680981546
2006-02-16,-0.002826235259721366,-9.241290084083253e-05,0.018157233919258164,-0.008243865030674868,0.010499951835083454
2006-02-17,0.013193901485535564,0.007763401109057266,0.0044583570479985735,0.02039435530639855,0.013441372735939039
2006-02-20,0.0,0.0,0.005666257436962807,0.0,0.006302323393848175
2006-02-21,0.010128291694800673,0.005685986793837028,-0.001878110620715412,0.007577910391209697,0.009347541596560038
2006-02-22,-0.003915202444614185,-0.0019150100310049156,0.010066798381785702,0.003760458775970532,0.004167438414521163
2006-02-23,0.007094238328060554,0.01005025125628145,-0.001956035767511133,0.0026224594923667244,-0.0041501429493683295
2006-02-24,-0.006473108043788645,0.0,-0.0013065795613625975,-0.00794021485287244,0.007779218373772823
