date,strategy_1934030,strategy_1934030_timed_200d,strategy_1934030_timed_ensemble,strategy_1934014,strategy_1934014_timed_200d,strategy_1934014_timed_ensemble,strategy_1873038,strategy_1873038_timed_200d,strategy_1873038_timed_ensemble,strategy_1934023,strategy_1934023_timed_200d,strategy_1934023_timed_ensemble,strategy_1934037,strategy_1934037_timed_200d,strategy_1934037_timed_ensemble,conditional_inverse_sleeve,tactical_etf_component,defensive_proxy_component
2007-06-26,0.0029874633235529,0.0029874633235529,0.0029874633235529,-0.0035758706467661,-0.0035758706467661,-0.0035758706467661,-0.000706668379802,-0.000706668379802,-0.000706668379802,-0.0030785704724934,-0.0030785704724934,-0.0030785704724934,-0.0061805431746598,-0.0061805431746598,-0.0061805431746598,-0.0006243756243754,-0.0102783154241477,-0.0006243756243754
2007-06-27,0.0063294505611404,0.0063294505611404,0.0063294505611404,0.004576897071826,0.004576897071826,0.004576897071826,0.0005785920925744,0.0005785920925744,0.0005785920925744,-0.0057062298603651,-0.0057062298603651,-0.0057062298603651,0.0086108951743109,0.0086108951743109,0.0086108951743109,-0.0001249531425717,0.0142288758513726,-0.0001249531425717
2007-06-28,-0.0015856236786468,-0.0015856236786468,-0.0015856236786468,0.0009836914315299,0.0009836914315299,0.0009836914315299,0.0033410434335647,0.0033410434335647,0.0033410434335647,0.0035109040577947,0.0035109040577947,0.0035109040577947,0.01167961107488,0.01167961107488,0.01167961107488,-0.000249937515621,-0.0001329787234043,-0.000249937515621
2007-06-29,0.0025939650608786,0.0025939650608786,0.0025939650608786,0.0072411296162202,0.0072411296162202,0.0072411296162202,0.009797643442623,0.009797643442623,0.009797643442623,0.0033640584000538,0.0033640584000538,0.0033640584000538,0.003047351148617,0.003047351148617,0.003047351148617,0.002,0.0003324910227424,0.002
2007-07-02,0.0188499920798352,0.0188499920798352,0.0188499920798352,0.0245455479100338,0.0245455479100338,0.0245455479100338,0.0,0.0,0.0,0.0087842821699188,0.0087842821699188,0.0087842821699188,0.0,0.0,0.0,0.0006574210312115,0.0090407498504285,0.0006574210312115
2007-07-03,0.009691127694859,0.009691127694859,0.009691127694859,0.0032076984763431,0.0032076984763431,0.0032076984763431,0.0242881603145412,0.0242881603145412,0.0242881603145412,0.0152884871044935,0.0152884871044935,0.0152884871044935,0.0157747137181585,0.0157747137181585,0.0157747137181585,-0.0003754223501438,0.0036234271032349,-0.0003754223501438
2007-07-05,0.0042601242108504,0.0042601242108504,0.0042601242108504,0.0180855315747401,0.0180855315747401,0.0180855315747401,0.0014165178296483,0.0014165178296483,0.0014165178296483,0.006939897865654,0.006939897865654,0.006939897865654,0.0058029301924733,0.0058029301924733,0.0058029301924733,-0.0013770655983975,-0.0010502822633582,-0.0013770655983975
2007-07-06,0.0037309618726362,0.0037309618726362,0.0037309618726362,0.0047109628030228,0.0047109628030228,0.0047109628030228,0.0117466174661746,0.0117466174661746,0.0117466174661746,0.0198959687906372,0.0198959687906372,0.0198959687906372,0.0074831486347537,0.0074831486347537,0.0074831486347537,-0.0001253604111821,0.0052569325798397,-0.0001253604111821
2007-07-09,0.0067213198228017,0.0067213198228017,0.0067213198228017,0.0150434697665331,0.0150434697665331,0.0150434697665331,0.0032216886511458,0.0032216886511458,0.0032216886511458,0.0189978324620681,0.0189978324620681,0.0189978324620681,0.003118444179849,0.003118444179849,0.003118444179849,0.0007522567703108,0.0001307360439271,0.0007522567703108
2007-07-10,-0.0074857113954782,-0.0074857113954782,-0.0074857113954782,-0.0115484553940911,-0.0115484553940911,-0.0115484553940911,0.0040596219098401,0.0040596219098401,0.0040596219098401,-0.0068193193193193,-0.0068193193193193,-0.0068193193193193,0.001695681664029,0.001695681664029,0.001695681664029,0.0018792282635931,-0.01359477124183,0.0018792282635931
2007-07-11,0.0107017275645926,0.0107017275645926,0.0107017275645926,0.0166488170577354,0.0166488170577354,0.0166488170577354,0.0019914308128656,0.0019914308128656,0.0019914308128656,0.0010708661417322,0.0010708661417322,0.0010708661417322,0.0165331226723846,0.0165331226723846,0.0165331226723846,-0.0005001875703387,0.0070898489265838,-0.0005001875703387
2007-07-12,-0.0044874703776535,-0.0044874703776535,-0.0044874703776535,0.0103907297452594,0.0103907297452594,0.0103907297452594,0.0066249096603228,0.0066249096603228,0.0066249096603228,0.0213944122829097,0.0213944122829097,0.0213944122829097,0.023091867887871,0.023091867887871,0.023091867887871,-0.0006255473539348,0.0157905125337192,-0.0006255473539348
2007-07-13,0.0070907617504052,0.0070907617504052,0.0070907617504052,0.0043599829391973,0.0043599829391973,0.0043599829391973,0.0009572813210483,0.0009572813210483,0.0009572813210483,-0.0041276490882207,-0.0041276490882207,-0.0041276490882207,-0.0005425641582116,-0.0005425641582116,-0.0005425641582116,0.0005007511266901,0.0029794675820973,0.0005007511266901
