rank_by_annual,strategy,portfolio123_url,universe,type,inception,update,holdings,annual,excess,sharpe_ratio,drawdown
1,"Small Caps + Altman in Ranking + Altman > 1 - Copy","https://www.portfolio123.com/port_summary.jsp?portid=1934030","No OTC Exchange","Stock","01/01/06","04/20/26",25,34.2%,23.2%,1.37,-53.0%
2,"SAMCF + Quality Filter Group - Copy","https://www.portfolio123.com/port_summary.jsp?portid=1934014","No OTC Exchange","Stock","01/01/06","04/20/26",46,31.3%,20.3%,1.29,-50.9%
3,"Small Cap Focus - Small Cap Universe - Small AUM - Copy","https://www.portfolio123.com/port_summary.jsp?portid=1934023","No OTC Exchange + min 10 mil min vol","Stock","01/01/06","04/20/26",20,30.5%,21.8%,1.11,-65.7%
4,"SCs Small and Micro Cap Focus + 10 Mil min Replic2","https://www.portfolio123.com/port_summary.jsp?portid=1934127","No OTC Exchange + min 10 mil min vol - OWN","Stock","04/21/21","04/21/26",30,24.2%,11.4%,1.08,-20.7%
5,"Some of my Favorite Sell Rules - Copy","https://www.portfolio123.com/port_summary.jsp?portid=1911139","Easy to Trade US - 1-on-1 100K","Stock","01/01/06","04/05/26",12,23.4%,12.9%,0.90,-65.2%
